(U+0000)	00	feff0000	NULL
(U+0001)	01	feff0001	START OF HEADING
(U+0002)	02	feff0002	START OF TEXT
(U+0003)	03	feff0003	END OF TEXT
(U+0004)	04	feff0004	END OF TRANSMISSION
(U+0005)	05	feff0005	ENQUIRY
(U+0006)	06	feff0006	ACKNOWLEDGE
(U+0007)	07	feff0007	BELL
(U+0008)	08	feff0008	BACKSPACE
(U+0009)	09	feff0009	CHARACTER TABULATION
(U+000A)	0a	feff000a	LINE FEED (LF)
(U+000B)	0b	feff000b	LINE TABULATION
(U+000C)	0c	feff000c	FORM FEED (FF)
(U+000D)	0d	feff000d	CARRIAGE RETURN (CR)
(U+000E)	0e	feff000e	SHIFT OUT
(U+000F)	0f	feff000f	SHIFT IN
(U+0010)	10	feff0010	DATA LINK ESCAPE
(U+0011)	11	feff0011	DEVICE CONTROL ONE
(U+0012)	12	feff0012	DEVICE CONTROL TWO
(U+0013)	13	feff0013	DEVICE CONTROL THREE
(U+0014)	14	feff0014	DEVICE CONTROL FOUR
(U+0015)	15	feff0015	NEGATIVE ACKNOWLEDGE
(U+0016)	16	feff0016	SYNCHRONOUS IDLE
(U+0017)	17	feff0017	END OF TRANSMISSION BLOCK
(U+0018)	18	feff0018	CANCEL
(U+0019)	19	feff0019	END OF MEDIUM
(U+001A)	1a	feff001a	SUBSTITUTE
(U+001B)	1b	feff001b	ESCAPE
(U+001C)	1c	feff001c	INFORMATION SEPARATOR FOUR
(U+001D)	1d	feff001d	INFORMATION SEPARATOR THREE
(U+001E)	1e	feff001e	INFORMATION SEPARATOR TWO
(U+001F)	1f	feff001f	INFORMATION SEPARATOR ONE
(U+0020)	20	feff0020	SPACE
(U+0021)	21	feff0021	EXCLAMATION MARK
(U+0022)	22	feff0022	QUOTATION MARK
(U+0023)	23	feff0023	NUMBER SIGN
(U+0024)	24	feff0024	DOLLAR SIGN
(U+0025)	25	feff0025	PERCENT SIGN
(U+0026)	26	feff0026	AMPERSAND
(U+0027)	27	feff0027	APOSTROPHE
(U+0028)	28	feff0028	LEFT PARENTHESIS
(U+0029)	29	feff0029	RIGHT PARENTHESIS
(U+002A)	2a	feff002a	ASTERISK
(U+002B)	2b	feff002b	PLUS SIGN
(U+002C)	2c	feff002c	COMMA
(U+002D)	2d	feff002d	HYPHEN-MINUS
(U+002E)	2e	feff002e	FULL STOP
(U+002F)	2f	feff002f	SOLIDUS
(U+0030)	30	feff0030	DIGIT ZERO
(U+0031)	31	feff0031	DIGIT ONE
(U+0032)	32	feff0032	DIGIT TWO
(U+0033)	33	feff0033	DIGIT THREE
(U+0034)	34	feff0034	DIGIT FOUR
(U+0035)	35	feff0035	DIGIT FIVE
(U+0036)	36	feff0036	DIGIT SIX
(U+0037)	37	feff0037	DIGIT SEVEN
(U+0038)	38	feff0038	DIGIT EIGHT
(U+0039)	39	feff0039	DIGIT NINE
(U+003A)	3a	feff003a	COLON
